,Topic Number,Topic Name,Review Count,Keywords,Positive %,Neutral %,Negative %
0,0,0_shoes_these_are_love,381,"['shoes', 'these', 'are', 'love', 'comfortable', 'absolutely', 'cute', 'comfy', 'so', 'and']",95.3,3.4,1.3
1,1,1_comfortable_them_comfy_are,357,"['comfortable', 'them', 'comfy', 'are', 'love', 'cute', 'they', 'super', 'uncomfortable', 'very']",86.3,4.2,9.5
2,2,2_boots_these_love_them,329,"['boots', 'these', 'love', 'them', 'are', 'comfortable', 'so', 'absolutely', 'theyre', 'quality']",95.4,1.8,2.7
3,3,3_sandals_are_these_summer,242,"['sandals', 'are', 'these', 'summer', 'they', 'comfortable', 'and', 'love', 'pair', 'so']",90.1,5.4,4.5
4,4,4_wide_narrow_feet_foot,229,"['wide', 'narrow', 'feet', 'foot', 'width', 'have', 'if', 'you', 'shoe', 'wider']",40.2,29.7,30.1
5,5,5_bag_this_it_its,183,"['bag', 'this', 'it', 'its', 'love', 'is', 'one', 'the', 'wallet', 'phone']",92.3,4.9,2.7
6,6,6_fit_fits_great_perfect,164,"['fit', 'fits', 'great', 'perfect', 'color', 'perfectly', 'well', 'style', 'good', 'and']",97.0,2.4,0.6
7,7,7_uncomfortable_hurt_feet_shoes,145,"['uncomfortable', 'hurt', 'feet', 'shoes', 'hours', 'walk', 'wore', 'toes', 'walking', 'them']",48.3,11.0,40.7
8,8,8_sandal_summer_this_the,139,"['sandal', 'summer', 'this', 'the', 'for', 'it', 'is', 'of', 'cute', 'strap']",79.1,9.4,11.5
9,9,9_boot_this_bootie_is,138,"['boot', 'this', 'bootie', 'is', 'beautiful', 'great', 'it', 'nice', 'very', 'looks']",88.4,5.1,6.5
10,10,10_black_colors_white_color,137,"['black', 'colors', 'white', 'color', 'shoes', 'shoe', 'in', 'this', 'pair', 'of']",86.1,8.8,5.1
11,11,11_madden_steve_shoes_from,132,"['madden', 'steve', 'shoes', 'from', 'maddens', 'always', 'of', 'this', 'years', 'pair']",83.3,6.1,10.6
12,12,12_true_size_shoe_pictured,129,"['true', 'size', 'shoe', 'pictured', 'shoes', 'to', 'is', 'exactly', 'as', 'comfortable']",86.0,9.3,4.7
13,13,13_muy_la_de_son,124,"['muy', 'la', 'de', 'son', 'cmodos', 'que', 'los', 'se', 'es', 'el']",85.5,6.5,8.1
14,14,14_heel_height_perfect_is,123,"['heel', 'height', 'perfect', 'is', 'high', 'low', 'the', 'for', 'just', 'of']",88.6,8.9,2.4
15,15,15_boots_size_true_to,119,"['boots', 'size', 'true', 'to', 'they', 'are', 'these', 'up', 'run', 'my']",91.6,5.9,2.5
16,16,16_an_85_usually_normally,110,"['an', '85', 'usually', 'normally', 'wear', 'size', '75', 'but', 'got', 'im']",66.4,19.1,14.5
17,17,17_true_size_to_comfortable,105,"['true', 'size', 'to', 'comfortable', 'fits', 'very', 'comfy', 'fit', 'stylish', 'good']",95.2,4.8,0.0
18,18,18_shoe_beautiful_nice_very,100,"['shoe', 'beautiful', 'nice', 'very', 'great', 'shoes', 'comfortable', 'stylish', 'quality', 'good']",94.0,4.0,2.0
19,19,19_love_them_absolutely_are,99,"['love', 'them', 'absolutely', 'are', 'expensive', 'else', 'beautiful', 'these', 'gorgeous', 'price']",99.0,0.0,1.0
20,20,20_11_10_size_12,92,"['11', '10', 'size', '12', 'ordered', 'too', 'small', 'an', 'shoe', 'but']",42.4,26.1,31.5
21,21,21_sneakers_are_love_these,91,"['sneakers', 'are', 'love', 'these', 'new', 'gum', 'they', 'and', 'comfortable', 'style']",97.8,0.0,2.2
22,22,22_calves_calf_wide_have,87,"['calves', 'calf', 'wide', 'have', 'not', 'fit', 'calfs', 'tight', 'but', 'barely']",59.8,18.4,21.8
23,23,23_heels_kitten_sexy_these,84,"['heels', 'kitten', 'sexy', 'these', 'love', 'your', 'for', 'perfect', 'wedding', 'comfortable']",91.7,4.8,3.6
24,24,24_cute_comfortable_super_comfy,84,"['cute', 'comfortable', 'super', 'comfy', 'very', 'and', 'adorable', 'so', 'anything', 'wouild']",95.2,4.8,0.0
25,25,25_purse_it_this_its,80,"['purse', 'it', 'this', 'its', 'wallet', 'purses', 'just', 'match', 'matching', 'is']",83.8,11.2,5.0
26,26,26_fit_perfectly_them_perfect,76,"['fit', 'perfectly', 'them', 'perfect', 'they', 'husband', 'loved', 'glove', 'like', 'great']",96.1,2.6,1.3
27,27,27_loves_she_gift_granddaughter,69,"['loves', 'she', 'gift', 'granddaughter', 'daughter', 'christmas', 'loved', 'her', 'them', 'for']",98.6,1.4,0.0
28,28,28_shoe_this_is_comfortable,66,"['shoe', 'this', 'is', 'comfortable', 'versatile', 'looks', 'stylish', 'sexy', 'ages', 'love']",100.0,0.0,0.0
29,29,29_comfortable_beautiful_very_nice,66,"['comfortable', 'beautiful', 'very', 'nice', 'quality', 'great', 'price', 'good', 'and', 'worth']",98.5,0.0,1.5
30,30,30_black_brown_as_in,61,"['black', 'brown', 'as', 'in', 'them', 'bought', 'pair', 'ones', 'white', 'color']",85.2,4.9,9.8
31,31,31_half_up_size_12,60,"['half', 'up', 'size', '12', 'pointed', 'shoe', 'shoes', 'do', 'full', 'because']",70.0,25.0,5.0
32,32,32_pair_second_my_5th,58,"['pair', 'second', 'my', '5th', 'pairs', 'two', 'this', 'another', '3rd', 'both']",87.9,3.4,8.6
33,33,33_true_are_they_size,58,"['true', 'are', 'they', 'size', 'to', 'comfortable', 'up', 'maximas', 'cute', 'super']",86.2,6.9,6.9
34,34,34_run_small_big_they,57,"['run', 'small', 'big', 'they', 'do', 'size', 'little', 'half', 'full', 'bigger']",45.6,24.6,29.8
35,35,35_madden_steve_size_shoes,56,"['madden', 'steve', 'size', 'shoes', 'usually', 'im', 'in', 'from', '12', 'small']",60.7,14.3,25.0
36,36,36_blisters_wore_hour_hours,56,"['blisters', 'wore', 'hour', 'hours', 'gave', 'blister', 'first', 'no', 'got', 'bad']",44.6,5.4,50.0
37,37,37_slides_slide_these_are,55,"['slides', 'slide', 'these', 'are', 'they', 'pool', 'comfortable', 'that', 'their', 'and']",90.9,5.5,3.6
38,38,38_color_colors_pink_want,55,"['color', 'colors', 'pink', 'want', 'nude', 'wrong', 'every', 'more', 'tan', 'please']",65.5,9.1,25.5
39,39,39_small_runs_run_shoe,55,"['small', 'runs', 'run', 'shoe', 'but', 'send', 'shoes', 'little', 'whole', 'up']",52.7,32.7,14.5
40,40,40_walk_easy_walking_hard,54,"['walk', 'easy', 'walking', 'hard', 'to', 'in', 'off', 'put', 'comfortable', 'on']",77.8,16.7,5.6
41,41,41_yet_havent_worn_them,54,"['yet', 'havent', 'worn', 'them', 'cant', 'wait', 'look', 'wear', 'wore', 'dress']",87.0,5.6,7.4
42,42,42_dress_skirt_waist_medium,53,"['dress', 'skirt', 'waist', 'medium', 'this', 'it', 'length', 'flattering', 'material', 'is']",83.0,13.2,3.8
43,43,43_leather_soft_quality_smell,53,"['leather', 'soft', 'quality', 'smell', 'nice', 'faux', 'is', 'classic', 'eight', 'puffy']",81.1,15.1,3.8
44,44,44_brown_black_boots_color,52,"['brown', 'black', 'boots', 'color', 'pair', 'the', 'colored', 'in', 'suede', 'confort']",84.6,11.5,3.8
45,45,45_half_size_up_bigger,49,"['half', 'size', 'up', 'bigger', '12', 'ordered', 'went', 'small', 'sizes', 'down']",61.2,20.4,18.4
46,46,46_calves_calf_boots_calfs,48,"['calves', 'calf', 'boots', 'calfs', 'have', 'fit', 'skinny', 'wide', 'if', 'are']",68.8,20.8,10.4
47,47,47_quality_product_good_great,48,"['quality', 'product', 'good', 'great', 'price', 'value', 'style', 'amazing', 'application', 'coloir']",97.9,0.0,2.1
48,48,48_stylish_comfortable_very_spin,45,"['stylish', 'comfortable', 'very', 'spin', 'hr', 'apres', 'and', 'comfort', 'warm', 'streaks']",95.6,2.2,2.2
49,49,49_95_12_10_big,44,"['95', '12', '10', 'big', 'too', 'ordered', 'small', 'returned', 'reviews', 'size']",54.5,13.6,31.8
50,50,50_runs_small_cute_big,44,"['runs', 'small', 'cute', 'big', 'large', 'but', 'run', '28', 'clunky', 'shorter']",59.1,38.6,2.3
51,51,51_jacket_coat_this_it,44,"['jacket', 'coat', 'this', 'it', 'cozy', 'sleeves', 'button', 'is', 'boxy', 'oversized']",86.4,4.5,9.1
52,52,52_height_boots_heel_shorter,41,"['height', 'boots', 'heel', 'shorter', 'knee', 'tall', 'leg', 'perfect', 'these', 'high']",97.6,2.4,0.0
53,53,53_platform_platforms_high_flat,40,"['platform', 'platforms', 'high', 'flat', 'being', 'they', 'weight', 'some', 'makes', 'of']",85.0,5.0,10.0
54,54,54_75_am_im_usually,39,"['75', 'am', 'im', 'usually', 'up', '65', 'in', 'shoe', 'but', 'size']",76.9,5.1,17.9
55,55,55_sneaker_good_office_several,38,"['sneaker', 'good', 'office', 'several', 'is', 'looks', 'comfortable', 'that', 'stylish', 'great']",92.1,7.9,0.0
56,56,56_true_cute_size_super,38,"['true', 'cute', 'size', 'super', 'to', 'comfy', 'accurate', 'charming', 'sisterinlaw', 'sizecant']",97.4,2.6,0.0
57,57,57_daughter_shoes_loves_her,38,"['daughter', 'shoes', 'loves', 'her', 'took', 'granddaughter', 'she', 'mother', 'for', 'my']",73.7,7.9,18.4
58,58,58_gift_she_daughter_it,37,"['gift', 'she', 'daughter', 'it', 'loved', 'xmas', 'christmas', 'loves', 'bought', 'present']",86.5,8.1,5.4
59,59,59_85_size_shoe_am,36,"['85', 'size', 'shoe', 'am', 'true', 'ppl', 'fit', 'but', 'ordered', 'shoes']",69.4,19.4,11.1
60,60,60_loafers_loafer_classic_were,34,"['loafers', 'loafer', 'classic', 'were', 'madison', 'looking', 'both', 'first', 'red', 'olive']",85.3,5.9,8.8
61,61,61_compliments_many_received_lots,33,"['compliments', 'many', 'received', 'lots', 'lot', 'got', 'tons', 'cutereceived', 'undeniably', 'sassyso']",100.0,0.0,0.0
62,62,62_flats_how_of_these,33,"['flats', 'how', 'of', 'these', 'miles', 'far', 'they', 'doesnt', 'show', 'are']",90.9,6.1,3.0
63,63,63_65_12_am_normally,33,"['65', '12', 'am', 'normally', 'fit', 'im', 'size', 'when', 'before', 'order']",66.7,12.1,21.2
64,64,64_ankle_ankles_strap_elastic,33,"['ankle', 'ankles', 'strap', 'elastic', 'tight', 'straps', 'hole', 'zip', 'even', 'top']",18.2,33.3,48.5
65,65,65_run_small_75_normally,32,"['run', 'small', '75', 'normally', 'do', 'sz', 'compresses', 'mind', 'they', 'usually']",25.0,46.9,28.1
66,66,66_bag_matching_sneakers_paired,31,"['bag', 'matching', 'sneakers', 'paired', 'matches', 'set', 'with', 'match', 'maxima', 'goes']",96.8,3.2,0.0
67,67,67_madden_steve_boot_boots,30,"['madden', 'steve', 'boot', 'boots', 'shocked', 'years', 'western', 'im', 'thank', 'he']",86.7,10.0,3.3
68,68,68_beautiful_absoultly_beeaauutifulll_gorgeous,29,"['beautiful', 'absoultly', 'beeaauutifulll', 'gorgeous', 'stunning', 'loveeeeee', 'adorable', 'cute', 'class', 'family']",100.0,0.0,0.0
69,69,69_boots_10_an_95,28,"['boots', '10', 'an', '95', 'boot', '1010', 'claves', 'former', 'id', 'slimmer']",89.3,7.1,3.6
70,70,70_runs_small_half_size,28,"['runs', 'small', 'half', 'size', 'up', 'run', 'dwn', 'charges', '05', 'difficulty']",10.7,42.9,46.4
71,71,71_pants_waist_long_sequence,27,"['pants', 'waist', 'long', 'sequence', 'cargo', 'length', 'sequin', 'jeans', 'medium', '57']",74.1,11.1,14.8
72,72,72_silver_gold_metallic_shoe,26,"['silver', 'gold', 'metallic', 'shoe', 'chrome', 'this', 'pair', '11', 'seriously', 'styling']",92.3,0.0,7.7
73,73,73_leather_soft_shoe_soooo,26,"['leather', 'soft', 'shoe', 'soooo', 'edges', 'spring', 'footwear', 'new', 'is', 'sole']",73.1,11.5,15.4
74,74,74_heavy_weight_light_weights,25,"['heavy', 'weight', 'light', 'weights', 'heavier', 'flash', 'weightfeets', 'loaded', 'emi', 'fluffier']",80.0,12.0,8.0
75,75,75_boots_ordered_perfectly_75,25,"['boots', 'ordered', 'perfectly', '75', 'normally', 'reviews', 'brand', 'miu', 'win', 'size']",92.0,8.0,0.0
76,76,76_star_reason_stars_because,24,"['star', 'reason', 'stars', 'because', 'given', 'only', 'one', 'most', 'toes', 'giving']",75.0,12.5,12.5
77,77,77_stylish_comfortable_stylis_versatilestylish,24,"['stylish', 'comfortable', 'stylis', 'versatilestylish', 'stylsih', 'exciting', 'sharp', 'stylist', 'practical', 'edgy']",100.0,0.0,0.0
78,78,78_foot_cute_feet_straps,24,"['foot', 'cute', 'feet', 'straps', 'loose', 'instep', 'but', 'your', 'hurt', 'strap']",37.5,45.8,16.7
79,79,79_return_exchange_item_label,23,"['return', 'exchange', 'item', 'label', 'need', 'final', 'available', 'will', 'withe', 'whecsize']",0.0,21.7,78.3
80,80,80_shipping_fast_navigate_expedited,23,"['shipping', 'fast', 'navigate', 'expedited', 'arrived', 'website', 'easy', 'quick', 'delivery', 'order']",78.3,13.0,8.7
81,81,81_compliments_many_lots_got,23,"['compliments', 'many', 'lots', 'got', 'shoe', 'shoes', 'complement', 'california', 'november', 'southern']",100.0,0.0,0.0
82,82,82_noise_sound_squeak_when,22,"['noise', 'sound', 'squeak', 'when', 'clicking', 'air', 'walk', 'embarrassing', 'squeaky', 'walking']",13.6,54.5,31.8
83,83,83_heavy_comfortable_bulky_very,22,"['heavy', 'comfortable', 'bulky', 'very', 'firm', 're', 'light', 'what', 'rustic', 'ages']",81.8,13.6,4.5
84,84,84_mules_mule_sticking_labeled,22,"['mules', 'mule', 'sticking', 'labeled', 'flat', 'fur', 'since', 'faux', 'fav', 'half']",81.8,4.5,13.6
85,85,85_color_lighter_sparkle_live,21,"['color', 'lighter', 'sparkle', 'live', 'comfortable', 'graduate', 'busy', 'depicted', 'lotvery', 'greenso']",90.5,4.8,4.8
86,86,86_slippers_slipper_slip_jelly,20,"['slippers', 'slipper', 'slip', 'jelly', 'ons', 'fur', 'everywhere', 'best', 'incorporate', 'noslipnoshow']",90.0,10.0,0.0
87,87,87_boot_sock_11_10,18,"['boot', 'sock', '11', '10', 'sleek', 'rubber', 'an', 'this', 'usually', 'edgy']",72.2,27.8,0.0
88,88,88_shoe_return_small_exchange,18,"['shoe', 'return', 'small', 'exchange', 'waited', 'same', 'too', 'sized', 'minimum', 'caramel']",5.6,16.7,77.8
89,89,89_summer_wait_cant_entire,17,"['summer', 'wait', 'cant', 'entire', 'fills', 'sanders', 'bridge', 'autumn', 'situation', 'logo']",100.0,0.0,0.0
90,90,90_toe_tight_box_front,17,"['toe', 'tight', 'box', 'front', 'toes', 'stretched', 'why', 'boney', 'eating', 'dunno']",11.8,47.1,41.2
91,91,91_classy_stylish_eye_very,16,"['classy', 'stylish', 'eye', 'very', 'countable', 'comfoetable', 'ahoes', 'elegant', 'candy', 'modern']",87.5,6.2,6.2
92,92,92_summer_spring_twice_shoe,16,"['summer', 'spring', 'twice', 'shoe', 'goddess', 'crossing', 'brokenin', 'shortdistance', 'worn', 'use']",93.8,6.2,0.0
93,93,93_breaking_break_in_no,16,"['breaking', 'break', 'in', 'no', 'without', 'need', 'them', 'out', 'first', 'officially']",75.0,12.5,12.5
94,94,94_feet_looks_focus_puts,15,"['feet', 'looks', 'focus', 'puts', 'comfy', 'stunning', '2x', 'nice', 'foot', 'negative']",73.3,20.0,6.7
95,95,95_stylish_cute_leisure_conversation,15,"['stylish', 'cute', 'leisure', 'conversation', 'versatile', 'errands', 'convenient', 'exceeded', 'styled', 'expectations']",100.0,0.0,0.0
96,96,96_it_miu_dupe_herself,15,"['it', 'miu', 'dupe', 'herself', 'steallll', 'spins', 'kill', 'reminds', 'bill', 'worth']",100.0,0.0,0.0
97,97,97_height_wedding_beaut_mildly,14,"['height', 'wedding', 'beaut', 'mildly', 'problem', '72', 'regardless', 'courthouse', 'dillards', 'wearing']",100.0,0.0,0.0
98,98,98_shows_show_dear_studds,14,"['shows', 'show', 'dear', 'studds', 'planet', 'drawback', 'warmth', 'protect', 'remind', 'childhood']",100.0,0.0,0.0
99,99,99_socks_count_soft_say,14,"['socks', 'count', 'soft', 'say', 'invisible', 'bootheels', 'colours', 'xox', 'lookalikes', 'thin']",92.9,0.0,7.1
100,100,100_booties_boot_gras_mardi,14,"['booties', 'boot', 'gras', 'mardi', 'wait', 'patent', 'red', 'float', 'heaven', 'pointier']",92.9,7.1,0.0
101,101,101_sm_horn_ive_ankle,13,"['sm', 'horn', 'ive', 'ankle', 'adequate', 'inconsistency', 'dependent', 'cancer', 'lesson', 'hasnt']",38.5,15.4,46.2
102,102,102_jeans_dresses_skirts_leggings,13,"['jeans', 'dresses', 'skirts', 'leggings', 'styled', 'with', 'skirt', 'daughter', 'shorts', 'pursue']",100.0,0.0,0.0
103,103,103_usually_luckly_comtfy_full,12,"['usually', 'luckly', 'comtfy', 'full', 'runs', 'im', 'run', '85', 'ordered', 'cute']",75.0,16.7,8.3
104,104,104_support_arch_no_enough,12,"['support', 'arch', 'no', 'enough', 'accomplish', 'anticipate', 'actress', 'removable', 'sloped', 'product']",25.0,25.0,50.0
105,105,105_everything_go_yiu_literally,11,"['everything', 'go', 'yiu', 'literally', 'with', 'live', 'about', 'them', 'love', 'they']",100.0,0.0,0.0
106,106,106_satisfied_purchase_iam_happy,11,"['satisfied', 'purchase', 'iam', 'happy', 'complain', 'with', 'complaints', 'pleased', 'am', 'buying']",100.0,0.0,0.0
107,107,107_ballet_flats_classic_flat,11,"['ballet', 'flats', 'classic', 'flat', 'essence', 'interpretation', 'kelly', 'through', 'dressed', 'grace']",100.0,0.0,0.0
108,108,108_exactly_what_expected_exceed,11,"['exactly', 'what', 'expected', 'exceed', 'description', 'described', 'wanted', 'expectations', 'wanting', 'wasnt']",90.9,0.0,9.1
109,109,109_down_dress_dressed_can,11,"['down', 'dress', 'dressed', 'can', 'or', 'up', 'lowfuss', 'washing', 'flow', 'be']",100.0,0.0,0.0
110,110,110_ittt_shot_its_loving,10,"['ittt', 'shot', 'its', 'loving', 'it', 'comfortable', 'piece', 'staple', 'surprisingly', 'gave']",100.0,0.0,0.0
111,111,111_uncomfortable_cute_extremely_waist,10,"['uncomfortable', 'cute', 'extremely', 'waist', 'but', 'weird', 'painful', 'own', 'show', 'hurt']",10.0,50.0,40.0
112,112,112_true_rubbing_enoughhad_stroll,10,"['true', 'rubbing', 'enoughhad', 'stroll', 'foresee', 'add', 'wrinkle', 'park', 'must', 'bandaids']",80.0,0.0,20.0
113,113,113_catching_eye_stylish_figure,10,"['catching', 'eye', 'stylish', 'figure', 'sexy', 'totally', 'cute', 'plus', 'comfortable', 'flattering']",100.0,0.0,0.0
114,114,114_comfy_looks_elite_image,10,"['comfy', 'looks', 'elite', 'image', 'cozy', 'amazing', 'regret', 'quality', 'fabulous', 'wasnt']",100.0,0.0,0.0
